dataset,instrument,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,median_frac_session_to_touch
Dukascopy_1m,BTCUSD,CRYPTO,LONDON,2016-2026,Fri->Mon,483,269,117,0.4349442379182156,0.3770289482994781,0.4946914267810506,0.4140786749482402,0.3878504672897196,0.04709377062849601,-0.0412510504778944,0.13374394904870196,0.30769105459582324,0.09574225628546573,-0.10177639199267888,-0.5086066717593712,
Dukascopy_1m,EURUSD,FX,LONDON,2016-2026,Fri->Mon,555,309,150,0.4854368932038835,0.4302330438385473,0.5409983906588914,0.4126126126126126,0.32113821138211385,0.16429868182176965,0.08224137844578118,0.24262755193703583,9.500699945432382e-05,0.3366986847999325,0.05645893837369839,0.27006510633913827,
Dukascopy_1m,GBPUSD,FX,LONDON,2016-2026,Fri->Mon,555,309,140,0.45307443365695793,0.39848629212045467,0.5088149968157365,0.4126126126126126,0.3617886178861789,0.09128581577077904,0.008869291240411942,0.17136595155747328,0.030530776510074402,0.1860803804111597,-0.30716271345688306,-1.4702156035587493,
Dukascopy_1m,NAS100,US_INDEX,LONDON,2016-2026,Fri->Mon,538,244,120,0.4918032786885246,0.4296897414244233,0.5541709087709346,0.38847583643122674,0.30272108843537415,0.18908219025315043,0.10626111686738499,0.26882730498902774,8.597288220105127e-06,0.3891924068121295,0.4185711791515017,2.059741495016217,
Dukascopy_1m,US500,US_INDEX,LONDON,2016-2026,Fri->Mon,538,240,115,0.4791666666666667,0.4167912046504396,0.542198542013792,0.36059479553903345,0.2651006711409396,0.21406599552572708,0.13229631014258722,0.2926286435182431,3.7185491539721523e-07,0.44738395256113117,0.47265673131371205,2.2677533619509824,
Dukascopy_1m,USDCAD,FX,LONDON,2016-2026,Fri->Mon,554,261,146,0.5593869731800766,0.49872780704437303,0.6183233530649206,0.4368231046931408,0.32764505119453924,0.23174192198553734,0.1494089242051606,0.3098181783192205,5.615108707440519e-08,0.4709847201573376,0.36994437188044044,1.8626955269279921,
Dukascopy_1m,USDCHF,FX,LONDON,2016-2026,Fri->Mon,554,295,133,0.45084745762711864,0.39506148029605426,0.5078970980938335,0.4314079422382672,0.4092664092664093,0.04158104836070936,-0.04092193963647775,0.12303008820216454,0.34487031602795104,0.08401408662308807,-0.18021506537202628,-0.9377646029082733,
Dukascopy_1m,USDJPY,FX,LONDON,2016-2026,Fri->Mon,555,289,134,0.46366782006920415,0.407027165162261,0.5212616772558536,0.4,0.3308270676691729,0.13284075240003124,0.05134237469693061,0.2116415794268212,0.0017696525156065833,0.2724300749203543,0.17796410782266056,0.8957708965695276,
Dukascopy_1m,WTIUSD,COMMOD,LONDON,2016-2026,Fri->Mon,536,270,140,0.5185185185185185,0.4590787884649715,0.5774386915508934,0.4533582089552239,0.38721804511278196,0.13130047340573653,0.04702202934741581,0.21295804408331606,0.0024184023177491725,0.2645673343323336,0.10433556098489148,0.5250484648797498,
Dukascopy_1m,XAGUSD,COMMOD,LONDON,2016-2026,Fri->Mon,536,269,123,0.45724907063197023,0.3987367380924372,0.5169652226747673,0.4048507462686567,0.352059925093633,0.10518914553833725,0.022081983119482118,0.18625325430475564,0.013898620634548095,0.2147704122266827,-0.09408714876877854,-0.46143749574048504,
Dukascopy_1m,XAUUSD,COMMOD,LONDON,2016-2026,Fri->Mon,536,275,129,0.4690909090909091,0.4109407589757216,0.5280926972689193,0.4197761194029851,0.367816091954023,0.10127481713688613,0.017702331772398966,0.1827517965799267,0.018332067601570894,0.2056907352554913,-0.3504706445849395,-1.6557970152385797,
Dukascopy_1m,POOL_COMMOD,COMMOD,LONDON,2016-2026,Fri->Mon,1608,814,392,0.48157248157248156,0.44741462037246993,0.5159034534712562,0.4259950248756219,0.3690176322418136,0.11255484933066795,0.06427552059720808,0.16007611005804048,5.554228079383085e-06,0.2281940887891789,-0.10529260037455401,-0.8959918816580771,
Dukascopy_1m,POOL_CRYPTO,CRYPTO,LONDON,2016-2026,Fri->Mon,483,269,117,0.4349442379182156,0.3770289482994781,0.4946914267810506,0.4140786749482402,0.3878504672897196,0.04709377062849601,-0.0412510504778944,0.13374394904870196,0.30769105459582324,0.09574225628546573,-0.10177639199267888,-0.5086066717593712,
Dukascopy_1m,POOL_FX,FX,LONDON,2016-2026,Fri->Mon,3328,1765,849,0.4810198300283286,0.45777685702833054,0.5043452429112143,0.41947115384615385,0.34996801023672425,0.13105181979160435,0.09765083628331525,0.16398679200638008,2.0466264522690657e-14,0.26679026090156266,0.007871636806668518,0.09628230191871923,
Dukascopy_1m,POOL_US_INDEX,US_INDEX,LONDON,2016-2026,Fri->Mon,1076,484,235,0.4855371900826446,0.4413005869919394,0.5300015650763912,0.3745353159851301,0.28378378378378377,0.20175340629886085,0.1436832836940155,0.25823659646487956,1.0926358958189887e-11,0.418259090235912,0.44052213702392656,3.0328715872314516,
Yahoo_daily_futures,YF_CL,COMMOD,YF_DAILY,2000-2026,Fri->Mon,1166,579,321,0.5544041450777202,0.5136927580223603,0.5943983858840332,0.4854202401372213,0.41737649063032367,0.1370276544473965,0.07974107746230628,0.19304931739025877,3.5541939836042975e-06,0.27503261154941727,-0.021641579524434556,-0.15572298723779016,
Yahoo_daily_futures,YF_ES,US_INDEX,YF_DAILY,2000-2026,Fri->Mon,1188,531,286,0.5386064030131826,0.49608011383131434,0.5805781169842313,0.43265993265993263,0.3470319634703196,0.19157443954286302,0.13507792116978756,0.246491360474424,3.7701529587104746e-11,0.38821122444952283,0.37722410338140683,2.724979627339072,
