control,dataset,asset_group,session_def,B_weekday,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,n,recon_accuracy,observed_uplift,shuffle_mean,shuffle_sd,shuffle_p,shuffle_q95,randtrig_mean,randtrig_sd
upside_symmetry,Dukascopy_1m,COMMOD,RTH,Thu,1662.0,892.0,485.0,0.5437219730941704,0.5109175719908368,0.5761514057082764,0.5228640192539109,0.4987012987012987,0.04502067439287166,-0.00312088923971824,0.09289802875274589,0.06863384177003562,0.0901531761140939,-0.23189848515913045,-2.1074898750704496,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,RTH,Thu,487.0,253.0,115.0,0.45454545454545453,0.39432624511961273,0.5161243491668153,0.45585215605749485,0.45726495726495725,-0.00271950271950272,-0.09060037977087465,0.08510901113869637,1.0,-0.005460287229645422,-0.44546962180230093,-2.188584102425066,,,,,,,,,
upside_symmetry,Dukascopy_1m,FX,RTH,Thu,3336.0,1713.0,886.0,0.517221249270286,0.4935455276297407,0.5408199052976115,0.49010791366906475,0.4614910659272951,0.0557301833429909,0.021792226461744495,0.08948415510461685,0.001431644232808291,0.11154352587848604,-0.08513587118610613,-1.1404893674800307,,,,,,,,,
upside_symmetry,Dukascopy_1m,US_INDEX,RTH,Thu,1100.0,571.0,365.0,0.6392294220665499,0.5990308984693292,0.6775671053110411,0.5509090909090909,0.4555765595463138,0.18365286252023605,0.1250752935918552,0.24049488460998025,1.17778776781524e-09,0.3711533010237418,-0.0008681845983584402,-0.005854043838908147,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,COMMOD,RTH,Thu,1662.0,849.0,466.0,0.5488810365135454,0.5152638171209419,0.5820579056231331,0.5228640192539109,0.4956949569495695,0.05318607956397586,0.005153542728004931,0.10088235927547487,0.030774499671302365,0.10652866467985667,0.3942979605072117,3.6097621410564518,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,CRYPTO,RTH,Thu,487.0,275.0,127.0,0.4618181818181818,0.40382652851779643,0.5208618586079363,0.45585215605749485,0.4481132075471698,0.013704974271011972,-0.07511374034988667,0.10183443184725707,0.7836228193541892,0.027522699197333855,0.3157977364715115,1.5655828952143978,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,FX,RTH,Thu,3336.0,1734.0,845.0,0.4873125720876586,0.4638403141751954,0.5108409205388972,0.49010791366906475,0.49313358302122345,-0.005821010933564852,-0.03972797897475493,0.02810113764723697,0.7550973053717305,-0.011644314046625137,0.14457172802430734,1.9426675494300767,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,US_INDEX,RTH,Thu,1100.0,520.0,265.0,0.5096153846153846,0.46673554269695544,0.5523542025525189,0.5509090909090909,0.5879310344827586,-0.07831564986737405,-0.13651514650918722,-0.019430060642869257,0.010746794155821804,-0.15754946220722044,0.11228543323973748,0.8090958042737418,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,COMMOD,RTH,Fri,1629.0,785.0,359.0,0.4573248407643312,0.42276756834871054,0.4922977476906316,0.42173112338858193,0.3886255924170616,0.06869924834726959,0.020695632075784745,0.1163123892733933,0.005740938297189467,0.13917893853342544,0.06641164677249627,0.6274586361633515,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,CRYPTO,RTH,Fri,482.0,262.0,104.0,0.3969465648854962,0.33960286530416206,0.45726854730562894,0.42946058091286304,0.4681818181818182,-0.07123525329632202,-0.1586039656856244,0.017313895700028004,0.11768629135610989,-0.14391533726943728,-0.44486771471582526,-2.3103428111352917,,,,,,,,,
