sessdef,family,rule,n_trades,trades_per_year,win_rate,loss_rate,mean_R,median_R,expectancy_R,MFE_R_median,MAE_R_median,hit_1R,hit_2R,hit_3R,meanR_DEV_2016_2020,meanR_VAL_2021_2026,positive_years,n_years,meanR_control
RTH,D1 short at Monday open,stop 0.5 ATR / target 1.0 ATR (2R),358,16.272727272727273,0.10893854748603352,0.3435754189944134,-0.12213316417191289,-0.3614509836787169,-0.12213316417191289,0.6426283487983904,0.7274148736038314,0.3016759776536313,0.11452513966480447,0.0335195530726257,-0.23723742884027194,-0.026995965823575278,4,11,-0.22953396438210255
RTH,D1 short at Monday open,stop 0.75 ATR / target 1.5 ATR (2R),358,16.272727272727273,0.0335195530726257,0.12849162011173185,-0.057601950247703405,-0.15902239036562937,-0.057601950247703405,0.42841889919892695,0.4849432490692209,0.1787709497206704,0.0335195530726257,0.00558659217877095,-0.12900497974758565,0.001414839440974776,5,11,-0.1604343728673278
RTH,D1 short at Monday open,stop 1.0 ATR / target 2.0 ATR (2R),358,16.272727272727273,0.01675977653631285,0.05307262569832402,-0.051570334310899274,-0.1175634039658344,-0.051570334310899274,0.3213141743991952,0.3637074368019157,0.11452513966480447,0.01675977653631285,0.0,-0.10139955694721528,-0.010384956417617676,4,11,-0.12756375196503933
RTH,D3b short break of Friday low,stop 0.5 ATR / target 1.0 ATR (2R),108,4.909090909090909,0.07407407407407407,0.1388888888888889,-0.06359301111139011,-0.13383176369561534,-0.06359301111139011,0.7230146169282468,1.19733296761784,0.35185185185185186,0.07407407407407407,0.018518518518518517,-0.2294636717801243,0.05947231777186427,6,11,-0.08587411226434595
RTH,D3b short break of Friday low,stop 0.75 ATR / target 1.5 ATR (2R),108,4.909090909090909,0.018518518518518517,0.037037037037037035,-0.040351914447224684,-0.0892211757970769,-0.040351914447224684,0.48200974461883117,0.7982219784118931,0.1574074074074074,0.018518518518518517,0.009259259259259259,-0.12526022142817803,0.022644571377353585,6,11,-0.10953745152107836
BROKER,D1 short at Monday open,stop 0.5 ATR / target 1.0 ATR (2R),404,18.363636363636363,0.13366336633663367,0.41089108910891087,-0.13645715748507672,-0.4708113102417093,-0.13645715748507672,0.7059489636070915,0.8417916172996269,0.36386138613861385,0.15099009900990099,0.06188118811881188,-0.14068578061374207,-0.13312664900320756,3,11,-0.20388433191911606
BROKER,D1 short at Monday open,stop 0.75 ATR / target 1.5 ATR (2R),404,18.363636363636363,0.06188118811881188,0.22277227722772278,-0.0876753942904993,-0.19465881797272316,-0.0876753942904993,0.4706326424047277,0.5611944115330846,0.2301980198019802,0.06188118811881188,0.022277227722772276,-0.07904394935897133,-0.09447361197993286,4,11,-0.16944716367606966
BROKER,D1 short at Monday open,stop 1.0 ATR / target 2.0 ATR (2R),404,18.363636363636363,0.027227722772277228,0.10891089108910891,-0.07014241661258462,-0.1178943844880887,-0.07014241661258462,0.35297448180354574,0.42089580864981346,0.15099009900990099,0.027227722772277228,0.0049504950495049506,-0.05782351291073319,-0.07984491598837912,4,11,-0.13452154818601958
BROKER,D3b short break of Friday low,stop 0.5 ATR / target 1.0 ATR (2R),165,7.5,0.12121212121212122,0.20606060606060606,-0.09636575347961794,-0.3579865095883053,-0.09636575347961794,0.8044924978452039,1.2450080883991634,0.38181818181818183,0.12727272727272726,0.07878787878787878,-0.06151723473754091,-0.11844798317756773,5,11,-0.14022904177841847
BROKER,D3b short break of Friday low,stop 0.75 ATR / target 1.5 ATR (2R),165,7.5,0.07878787878787878,0.12727272727272726,-0.041704590111842715,-0.2012216514979576,-0.041704590111842715,0.5363283318968027,0.830005392266109,0.22424242424242424,0.07878787878787878,0.03636363636363636,-0.017214567071732134,-0.05722302055310092,4,11,-0.10271562323890522
