scope,sessdef,group,n,beta_trig_raw,se_raw,z_raw,beta_trig_ctrl,se_ctrl,z_ctrl,odds_raw,odds_ctrl,beta_dist,z_dist
Fri->Mon,RTH,US_INDEX,1036,0.7365901252082521,0.1307132037753933,5.635162354936592,0.41994973747546815,0.14231748327026922,2.950795136518533,2.088800807959422,1.5218850599110578,-2.732772876996989,-10.408518866533754
Mon-Thu->next,RTH,US_INDEX,4373,0.37890908029794723,0.061452717699551226,6.165863683205573,0.15712068857722208,0.06680702094065541,2.3518589268752486,1.4606902241859554,1.1701368275281758,-2.560447826433068,-21.353109160692625
Fri->Mon,RTH,FX,3312,0.08754564731009343,0.0702964908315524,1.2453772055261512,-0.11618211702747964,0.07376124438825532,-1.5751105881014504,1.0914920869835696,0.890313067362888,-2.093016441136681,-13.370070734868435
Mon-Thu->next,RTH,FX,13302,0.2672177672030406,0.03479628988602966,7.67949020077355,0.03867495430056152,0.0367595359250972,1.0521067072056418,1.306324890075845,1.039432565648416,-2.1657125372454074,-28.173945840888067
Fri->Mon,RTH,COMMOD,1589,0.26860381588478605,0.10183609579389519,2.6376091285786325,0.03599178366427701,0.10747421308199116,0.33488762217611384,1.308136775358197,1.036647329013451,-2.392218742790037,-10.488184910537383
Mon-Thu->next,RTH,COMMOD,6616,0.1318481753610651,0.049421197351402345,2.6678466412615935,-0.1261924256640479,0.0527156139591554,-2.3938339362190315,1.140935084059696,0.8814452177820993,-2.4116212787802125,-22.008130283108922
Fri->Mon,RTH,ALL,6414,0.20617583602222445,0.05082589552940916,4.056511624137067,-0.02085759243775414,0.05362580878626104,-0.3889469065331443,1.2289692820675957,0.9793584226848183,-2.2804417449559873,-20.55048726398958
Mon-Thu->next,RTH,ALL,26226,0.24599106587512845,0.02484508995310888,9.900993167639848,0.010108503599296386,0.026380707959837855,0.3831778743271648,1.27888814774429,1.0101597671086577,-2.326238722135182,-43.112870669468066
Fri->Mon,BROKER,US_INDEX,1076,0.8770714538357206,0.1284406324845995,6.828613631600457,0.4416869338828505,0.14616355962680694,3.021867659836628,2.403849603643934,1.5553287434763508,-3.4312595631251765,-13.10677104542173
Mon-Thu->next,BROKER,US_INDEX,4424,0.47283227879814,0.06138304900707087,7.70297804437302,0.09148225530525536,0.07124230864489244,1.284100095088847,1.6045322463301512,1.095797331930864,-3.5937124184742384,-27.65229118412665
Fri->Mon,BROKER,FX,3327,0.5840154948712553,0.07126938382549902,8.194479361589542,-0.008861477842621744,0.08349623154540012,-0.10613027293098154,1.7932246774209035,0.991177669332873,-3.8941002375638654,-23.737325386850774
Mon-Thu->next,BROKER,FX,13326,0.7470691793567743,0.03530214568176571,21.162146519117986,0.021681291609513882,0.042664151808650096,0.5081852255438026,2.1108045525939665,1.021918038710916,-4.341204648326893,-50.515897589254564
Fri->Mon,BROKER,COMMOD,1608,0.528688081727196,0.10174686804267229,5.196111604196662,-0.04976843649302095,0.11838590823420504,-0.42039155871966727,1.6967049096807707,0.951449720027411,-3.6955848573523786,-16.40945667687701
