pair,n,corr_outcome,corr_trigger,agreement
NAS100 vs US500 (Dukascopy RTH),508,0.7531580364891183,0.770042895258778,0.8838582677165354
EURUSD vs GBPUSD,552,0.5104221714574435,0.5873604760638054,0.7608695652173914
EURUSD vs USDJPY,552,-0.2342570915272011,-0.2066181346664594,0.39855072463768115
ES vs NQ (Yahoo daily),1175,0.7603919774569237,0.6814943692661044,0.8808510638297873
NAS100 CFD vs NQ futures (cross-vendor),479,0.7929156821281438,0.7818604867546903,0.8997912317327766
