sessdef,asset_group,triggered,n,reach_Fri_low,reach_Fri_high,reach_Thu_high,reach_both,Fri_low_first,Fri_high_first,reach_neither,Fri_low_first_given_both,touch_minute_p25,touch_minute_median,touch_minute_p75,touch_frac_session_median,share_touched_in_first_30min,share_touched_in_first_60min,MFE_down_atr_median,MFE_down_atr_mean,MAE_up_atr_median,MAE_up_atr_mean,net_excursion_atr_mean,MAE_before_touch_atr_median,MAE_before_touch_atr_p90
BROKER,COMMOD,True,800,0.495,0.4525,0.2225,0.09,0.45375,0.40375,0.1425,0.5416666666666666,23.5,231.0,708.5,0.17028985507246377,0.255050505050505,0.2828282828282828,0.3827510039623717,0.5005036997100625,0.38092504149544726,0.4651870122563471,0.035316687453715315,0.10633323507182219,0.33610057823958484
BROKER,COMMOD,False,808,0.36633663366336633,0.5544554455445545,0.7735148514851485,0.08292079207920793,0.31064356435643564,0.5272277227722773,0.16212871287128713,0.3283582089552239,57.25,441.5,842.25,0.3199275362318841,0.23648648648648649,0.2533783783783784,0.373615348227222,0.507600077328266,0.36035591974269576,0.49094236478487047,0.01665771254339537,0.09861305402322121,0.32282756397933143
BROKER,CRYPTO,True,275,0.4509090909090909,0.4581818181818182,0.3236363636363636,0.06181818181818182,0.4218181818181818,0.4254545454545455,0.15272727272727274,0.5294117647058824,0.0,54.5,686.75,0.03784722222222223,0.4596774193548387,0.5,0.36226659692055796,0.5187180765344382,0.34598252526983103,0.5270328855206423,-0.008314808986204006,0.03292372310271251,0.19939365748465682
BROKER,CRYPTO,False,208,0.3798076923076923,0.5865384615384616,0.7740384615384616,0.09134615384615384,0.3173076923076923,0.5576923076923077,0.125,0.3157894736842105,0.0,104.0,521.0,0.07222222222222222,0.4177215189873418,0.45569620253164556,0.34885598665172507,0.4794937153506131,0.42801595446549046,0.6169879285577806,-0.13749421320716756,0.02778377879058259,0.24128167128777647
BROKER,FX,True,1761,0.49687677455990914,0.42135150482680295,0.1970471323111868,0.097671777399205,0.45371947756956277,0.36683702441794436,0.1794434980124929,0.5581395348837209,36.5,259.0,753.5,0.1798611111111111,0.24342857142857144,0.28685714285714287,0.26534768693627486,0.386907324802296,0.4504530213312351,0.5294037838613909,-0.1424964590590949,0.1229349605596316,0.39707636524828455
BROKER,FX,False,1566,0.3563218390804598,0.5076628352490421,0.7752234993614304,0.07279693486590039,0.31800766283524906,0.4731800766283525,0.20881226053639848,0.47368421052631576,62.0,424.5,877.5,0.2947916666666667,0.22043010752688172,0.24551971326164876,0.2804838453935333,0.3718724974084226,0.4469879210960499,0.532397954974794,-0.1605254575663715,0.14402754846319965,0.41241168076682555
BROKER,US_INDEX,True,475,0.4968421052631579,0.52,0.24210526315789474,0.13052631578947368,0.4378947368421053,0.44842105263157894,0.11368421052631579,0.5483870967741935,0.0,125.0,762.75,0.10936329588014981,0.4364406779661017,0.4533898305084746,0.36491559347601776,0.5497122828545036,0.43662649298118655,0.5548776590074948,-0.005165376152991082,0.07350679292830223,0.35955761717846696
BROKER,US_INDEX,False,601,0.2911813643926789,0.6139767054908486,0.8169717138103162,0.059900166389351084,0.2612312811980033,0.5840266222961731,0.15474209650582363,0.5,0.0,382.0,936.5,0.3353819139596137,0.33714285714285713,0.36,0.2517740454420949,0.37382218466652994,0.36366989962957763,0.4405747265082421,-0.06675254184171212,0.07883659707459924,0.29372300936245577
RTH,COMMOD,True,767,0.4589308996088657,0.4654498044328553,0.23728813559322035,0.05997392438070404,0.4276401564537158,0.4367666232073012,0.13559322033898305,0.4782608695652174,0.0,0.0,30.0,0.0,0.7585227272727273,0.8323863636363636,0.2785139524329735,0.36681669288996727,0.2534690101757637,0.34285262203151,0.02396407085845719,0.028804581011767215,0.1565693797157876
RTH,COMMOD,False,822,0.3929440389294404,0.5012165450121655,0.7481751824817519,0.049878345498783457,0.36982968369829683,0.4744525547445255,0.15571776155717762,0.5365853658536586,0.0,0.0,26.0,0.0,0.7770897832817337,0.8452012383900929,0.269541584979416,0.3756538868568747,0.2560613159783659,0.3397939708449212,0.03585991601195339,0.02993937525177875,0.124519791919764
RTH,CRYPTO,True,261,0.39846743295019155,0.5440613026819924,0.31417624521072796,0.04980842911877394,0.3793103448275862,0.5134099616858238,0.10727969348659004,0.6153846153846154,0.0,0.0,35.5,0.0,0.7307692307692307,0.7884615384615384,0.2322943297834516,0.32998662781676763,0.2532575547546468,0.3973212598863378,-0.06733463206957024,0.023492305795078612,0.17921527786379018
RTH,CRYPTO,False,216,0.46296296296296297,0.5185185185185185,0.7268518518518519,0.05092592592592592,0.4305555555555556,0.5,0.06944444444444445,0.36363636363636365,0.0,0.0,35.25,0.0,0.74,0.77,0.27101076617956793,0.37561099276347903,0.23204449341606032,0.3868945532249112,-0.011283560461432177,0.0235538984000411,0.1456363679542134
RTH,FX,True,1685,0.44094955489614246,0.485459940652819,0.22492581602373887,0.05222551928783383,0.4172106824925816,0.456973293768546,0.1258160237388724,0.5454545454545454,0.0,0.0,24.0,0.0,0.7685060565275909,0.8344549125168237,0.2389037317935141,0.31324078956737517,0.24153074027603316,0.31090992234915826,0.0023308672182169384,0.02586737836171081,0.12642091625446564
RTH,FX,False,1627,0.4204056545789797,0.47019053472649047,0.7314074984634297,0.03872157344806392,0.4025814382298709,0.44929317762753535,0.14812538414259374,0.5396825396825397,0.0,0.0,26.25,0.0,0.7616959064327485,0.8304093567251462,0.24597135183528454,0.3123675462926147,0.2464443926322997,0.3204411910490371,-0.008073644756422397,0.02452979021588669,0.13046479801791774
RTH,US_INDEX,True,467,0.46466809421841543,0.5353319057815846,0.2462526766595289,0.1006423982869379,0.41113490364025695,0.48822269807280516,0.1006423982869379,0.46808510638297873,0.0,0.0,51.0,0.0,0.7050691244239631,0.7649769585253456,0.3368009094508131,0.4696889288446414,0.3824356220390809,0.46933828818943407,0.0003506406552073649,0.0684963286205827,0.23371347671808473
RTH,US_INDEX,False,569,0.29349736379613356,0.5940246045694201,0.827768014059754,0.054481546572934976,0.2671353251318102,0.5659050966608085,0.16695957820738136,0.5161290322580645,0.0,6.0,58.5,0.015384615384615385,0.6407185628742516,0.7604790419161677,0.22214434868885197,0.3238699398928647,0.3315029361583747,0.3956185236777297,-0.07174858378486505,0.06768358031005192,0.2820050562913925
