sample,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
Yahoo ES alone,gap_frac_Brange,531,657,-0.017662633021226656,-0.03441419523627861,0.016751562215051953,-0.03519232877904277,0.06703916125457643,0.53
Yahoo ES alone,open_loc,531,657,0.45880910069614345,0.5979271892194896,-0.13911808852334617,-0.1965594803830241,-0.0768297374545393,0.0
Yahoo ES alone,open_below_Blow,531,657,0.11487758945386065,0.0532724505327245,0.06160513892113614,0.029321054117587453,0.09382063034109701,0.0
Yahoo ES alone,open_above_Bhigh,531,657,0.08097928436911488,0.0745814307458143,0.006397853623300573,-0.023638678973627952,0.03635055443459056,0.687
Yahoo ES alone,mfe_down_atr,531,657,0.5508847560358768,0.42575679586618725,0.12512796016968958,0.07264363291275919,0.1827818451783209,0.0
Yahoo ES alone,mfe_up_atr,531,657,0.5342113207552978,0.4471899418543158,0.08702137890098194,0.04255900146647937,0.13146581583070868,0.0
Yahoo ES alone,ret_close_atr,531,657,0.04637874034859394,0.04297237469427343,0.003406365654320509,-0.0710685586888576,0.07866060738286215,0.936
Yahoo NQ alone,touch_low,565,616,0.5610619469026549,0.37012987012987014,0.19093207677278473,0.13526043589728717,0.24657173992919318,0.0
Yahoo NQ alone,low_by_gap,565,616,0.08849557522123894,0.045454545454545456,0.04304102976669348,0.014444928067093344,0.07189546663176768,0.002
Yahoo NQ alone,travelled_to_low,565,616,0.4725663716814159,0.3246753246753247,0.14789104700609124,0.09494866695026428,0.20373251127329295,0.0
Yahoo NQ alone,gap_atr,565,616,0.007675309560477063,-0.013715043722491578,0.021390353282968642,-0.005192634307847965,0.05002795165943245,0.125
Yahoo NQ alone,gap_frac_Brange,565,616,0.025097967372299676,-0.019475376100218864,0.04457334347251854,-0.0034101521183670376,0.09354351324358248,0.07
Yahoo NQ alone,open_loc,565,616,0.4881058862810916,0.5950260881928996,-0.10692020191180801,-0.16582826886451263,-0.047698180027083294,0.0
Yahoo NQ alone,open_below_Blow,565,616,0.08849557522123894,0.045454545454545456,0.04304102976669348,0.015005446990840188,0.0738468434963049,0.0
Yahoo NQ alone,open_above_Bhigh,565,616,0.08141592920353982,0.05844155844155844,0.02297437076198138,-0.005991201050826275,0.05158764945284272,0.13
Yahoo NQ alone,mfe_down_atr,565,616,0.5453653898743728,0.43208449817642913,0.11328089169794364,0.06280554211722328,0.16693928222152,0.0
Yahoo NQ alone,mfe_up_atr,565,616,0.5272316032998283,0.46517702089052054,0.06205458240930778,0.019678931224671427,0.10507602793500154,0.004
Yahoo NQ alone,ret_close_atr,565,616,0.02971239653354706,0.05975597571898484,-0.03004357918543778,-0.10110499236919156,0.038871975389908,0.415
Dukascopy NAS100+US500 RTH,touch_low,467,569,0.46466809421841543,0.29349736379613356,0.17117073042228187,0.0968142178905467,0.24471198709267852,0.0
Dukascopy NAS100+US500 RTH,low_by_gap,467,569,0.2334047109207709,0.10017574692442882,0.13322896399634207,0.07747769561051138,0.19287392419724197,0.0
Dukascopy NAS100+US500 RTH,travelled_to_low,467,569,0.23126338329764454,0.19332161687170474,0.0379417664259398,-0.023434628261933772,0.09786710994852893,0.231
Dukascopy NAS100+US500 RTH,gap_atr,467,569,0.025683508370984768,0.02851223600119425,-0.0028287276302094815,-0.09439249800055959,0.09021049191495013,0.952
Dukascopy NAS100+US500 RTH,gap_frac_Brange,467,569,0.048126176138373895,0.058507230876419014,-0.010381054738045119,-0.1232999371803853,0.11100000843467364,0.855
Dukascopy NAS100+US500 RTH,open_loc,467,569,0.5148288999204993,0.7002088332763282,-0.18537993335582892,-0.30914124731053355,-0.06089865437620437,0.004
Dukascopy NAS100+US500 RTH,open_below_Blow,467,569,0.2334047109207709,0.10017574692442882,0.13322896399634207,0.0739549783766965,0.1922531525546641,0.0
Dukascopy NAS100+US500 RTH,open_above_Bhigh,467,569,0.23768736616702354,0.2741652021089631,-0.03647783594193957,-0.10328140422323488,0.03392497743379891,0.315
Dukascopy NAS100+US500 RTH,mfe_down_atr,467,569,0.4696889288446414,0.3238699398928647,0.1458189889517767,0.08234085204151201,0.2168011557589982,0.0
Dukascopy NAS100+US500 RTH,mfe_up_atr,467,569,0.46933828818943407,0.3956185236777297,0.07371976451170437,0.015187984646807462,0.13767148757189235,0.01
Dukascopy NAS100+US500 RTH,ret_close_atr,467,569,0.05036497297819714,0.10735244332330242,-0.056987470345105276,-0.15221895859653947,0.040500511263660624,0.249
Dukascopy NAS100+US500 BROKER,touch_low,475,601,0.4968421052631579,0.2911813643926789,0.20566074087047903,0.13242846556594645,0.27604985131748117,0.0
