sessdef,variable,variable_label,outcome,outcome_label,n,spearman_rho,spearman_p,lo_tercile,mid_tercile,hi_tercile,hi_minus_lo,welch_p,bh_rank,bh_crit,survives_BH05
RTH,A_range_atr,Thu range / ATR,touch_Blow,Mon touches Fri low,467,-0.1098737537139738,0.01753830869821054,0.5128205128205128,0.47096774193548385,0.41025641025641024,-0.10256410256410253,0.0695932745877021,23.0,0.01916666666666667,True
RTH,A_range_atr,Thu range / ATR,seq_low_first,Mon reaches Fri low BEFORE Fri high,467,-0.06527380476058375,0.15904202853710994,0.4230769230769231,0.43870967741935485,0.3717948717948718,-0.051282051282051266,0.35630920823658085,46.0,0.03833333333333334,False
RTH,A_range_atr,Thu range / ATR,dn60_atr,Mon down-excursion in first 60m / ATR,467,0.12331257239535356,0.0076337271539144705,0.20377512197219153,0.26304721359983724,0.26586104267885563,0.062085920706664105,0.03148724735259715,22.0,0.018333333333333333,True
RTH,A_range_atr,Thu range / ATR,net60_atr,Mon (down - up) excursion first 60m / ATR,467,0.006061439395385412,0.8960609145958756,-0.06085420525680256,0.00011299421807162988,-0.06295861726385903,-0.0021044120070564665,0.9662128175029123,57.0,0.0475,False
RTH,A_range_atr,Thu range / ATR,ret_close_atr,Mon close - open / ATR,467,0.08931718583316309,0.05375016926412154,0.050655053701289615,-0.03571184259182507,0.13559993336634468,0.08494487966505507,0.2558819086295014,30.0,0.025,False
RTH,A_range_atr,Thu range / ATR,mfe_down_atr,Mon max down-excursion / ATR,467,0.07076435685375518,0.12674926080000734,0.3894881645592535,0.5236264129980861,0.4962979620801325,0.10680979752087899,0.049370448505576196,44.0,0.03666666666666667,False
RTH,A_close_loc,Thu close location in Thu range,touch_Blow,Mon touches Fri low,467,0.08426839694329784,0.06884853901629118,0.42948717948717946,0.41935483870967744,0.5448717948717948,0.11538461538461536,0.04161001749993288,33.0,0.027500000000000004,False
RTH,A_close_loc,Thu close location in Thu range,seq_low_first,Mon reaches Fri low BEFORE Fri high,467,0.04832586126763515,0.29734635702664414,0.391025641025641,0.3870967741935484,0.4551282051282051,0.0641025641025641,0.25323669740665544,47.0,0.03916666666666667,False
RTH,A_close_loc,Thu close location in Thu range,dn60_atr,Mon down-excursion in first 60m / ATR,467,-0.02502947803191078,0.5895235777475434,0.25602911353174546,0.21111011182220962,0.26521122275732906,0.009182109225583601,0.7760804933724519,53.0,0.044166666666666674,False
RTH,A_close_loc,Thu close location in Thu range,net60_atr,Mon (down - up) excursion first 60m / ATR,467,0.002463929013583014,0.9576495704359795,-0.03315483917296387,-0.09516724270775481,0.004011482828604166,0.03716632200156804,0.4728895720089503,59.0,0.04916666666666667,False
RTH,A_close_loc,Thu close location in Thu range,ret_close_atr,Mon close - open / ATR,467,-0.1364189197747331,0.0031372632266821725,0.15112234314716738,0.06635303438129485,-0.06627797102077403,-0.21740031416794142,0.0030624623911427837,20.0,0.016666666666666666,True
RTH,A_close_loc,Thu close location in Thu range,mfe_down_atr,Mon max down-excursion / ATR,467,0.06908060058306059,0.13606002862809774,0.43924509186021676,0.4447554024542085,0.5249064619221246,0.08566137006190788,0.13269377164434562,45.0,0.0375,False
RTH,shortfall_atr,(Thu high - Fri high) / ATR,touch_Blow,Mon touches Fri low,467,0.03888575457529334,0.40180982491130324,0.44871794871794873,0.4838709677419355,0.46153846153846156,0.01282051282051283,0.8208361786018348,50.5,0.04208333333333334,False
