sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
RTH,shortfall_atr,touch_Blow,467,logit,0.10960702233802776,-0.14836838013291323,0.40671798049828894,0.41333333333333333,33.0,0.019642857142857146,False
RTH,shortfall_atr,seq_low_first,467,logit,0.1607128203080971,-0.08747129261536933,0.42759850805862554,0.21666666666666667,16.0,0.009523809523809525,False
RTH,shortfall_atr,dn60_atr,467,ols,0.0014111043113625992,-0.033221376534280325,0.03863342896946386,0.9333333333333333,82.0,0.048809523809523817,False
RTH,shortfall_atr,net60_atr,467,ols,-0.053809531027581,-0.13583852215914968,0.02345019739311582,0.19333333333333333,15.0,0.008928571428571428,False
RTH,shortfall_atr,ret_close_atr,467,ols,0.06358131354484366,-0.04950823007204101,0.16074637542154124,0.23,18.0,0.010714285714285714,False
RTH,shortfall_atr,mfe_down_atr,467,ols,0.022522982195345403,-0.04539303397681127,0.10251072526763437,0.5633333333333334,51.0,0.03035714285714286,False
RTH,fri_frac_high,touch_Blow,467,logit,0.05059715499869135,-0.32633218465794644,0.3853450706788295,0.7833333333333333,71.0,0.042261904761904764,False
RTH,fri_frac_high,seq_low_first,467,logit,-0.14805022313392655,-0.4892208035023695,0.18818305525340154,0.4033333333333333,29.0,0.017261904761904763,False
RTH,fri_frac_high,dn60_atr,467,ols,-0.017378448873903357,-0.05124839808019527,0.01557613445510436,0.31,22.0,0.013095238095238096,False
RTH,fri_frac_high,net60_atr,467,ols,-0.030105950133245303,-0.08716329762988241,0.022326612851853778,0.3,21.0,0.0125,False
RTH,fri_frac_high,ret_close_atr,467,ols,0.02714173578954665,-0.06664932599159218,0.12400980995804003,0.54,49.0,0.029166666666666667,False
RTH,fri_frac_high,mfe_down_atr,467,ols,0.0022299932581264542,-0.06965566608340529,0.07385558154360598,0.93,80.0,0.047619047619047616,False
RTH,fri_last_hour_ret_atr,touch_Blow,467,logit,0.04525202618769327,-0.24422083711658338,0.35205930562737753,0.7666666666666667,69.0,0.04107142857142857,False
RTH,fri_last_hour_ret_atr,seq_low_first,467,logit,-0.04876272888683944,-0.3911646337743487,0.22181268739526386,0.7666666666666667,70.0,0.041666666666666664,False
RTH,fri_last_hour_ret_atr,dn60_atr,467,ols,0.00362152084987311,-0.04223595798552662,0.048502731201975784,0.92,79.0,0.04702380952380952,False
RTH,fri_last_hour_ret_atr,net60_atr,467,ols,-0.0016004927185336317,-0.08140206694552775,0.0734849925178743,0.9766666666666667,84.0,0.05,False
RTH,fri_last_hour_ret_atr,ret_close_atr,467,ols,-0.04807405420606945,-0.17922038336020307,0.08114441227230763,0.4766666666666667,42.0,0.025,False
RTH,fri_last_hour_ret_atr,mfe_down_atr,467,ols,0.038761363382021116,-0.05862785039816635,0.1323928294418044,0.45,38.0,0.022619047619047622,False
RTH,B_body_ratio,touch_Blow,467,logit,0.23786671374675997,-0.03276697488857066,0.505507612313655,0.07333333333333333,9.0,0.005357142857142857,False
RTH,B_body_ratio,seq_low_first,467,logit,0.3328686031679976,0.0743220700914997,0.6122632471326793,0.016666666666666666,3.0,0.0017857142857142859,False
RTH,B_body_ratio,dn60_atr,467,ols,0.010756976765910888,-0.016215789253759362,0.03715771253631717,0.41,32.0,0.01904761904761905,False
RTH,B_body_ratio,net60_atr,467,ols,0.0031705678571720096,-0.05204214825449692,0.05196140088816415,0.93,81.0,0.04821428571428571,False
RTH,B_body_ratio,ret_close_atr,467,ols,0.007334436247028569,-0.08430661638128803,0.0911336337156535,0.9066666666666666,77.0,0.04583333333333334,False
RTH,B_body_ratio,mfe_down_atr,467,ols,0.007856295424422123,-0.04720733916707585,0.06669007782645832,0.8066666666666666,73.0,0.04345238095238096,False
RTH,B_bear,touch_Blow,467,logit,0.10316922990477324,-0.1997927039178114,0.4375010386661783,0.5033333333333333,46.0,0.027380952380952384,False
RTH,B_bear,seq_low_first,467,logit,0.12337535866478763,-0.22407947659562535,0.4634968855986253,0.5133333333333333,47.0,0.027976190476190477,False
RTH,B_bear,dn60_atr,467,ols,0.006136764966612285,-0.03055359959454183,0.0468535570811705,0.74,67.0,0.039880952380952385,False
RTH,B_bear,net60_atr,467,ols,0.02558784551194169,-0.038831374349851365,0.10170322366262892,0.4666666666666667,40.0,0.023809523809523808,False
RTH,B_bear,ret_close_atr,467,ols,-0.024778839648393922,-0.13533874027849535,0.08124036899599128,0.6766666666666666,62.0,0.036904761904761905,False
RTH,B_bear,mfe_down_atr,467,ols,-0.008416908109857391,-0.08097964790466991,0.06123228455335909,0.84,74.0,0.04404761904761905,False
RTH,B_inside,touch_Blow,467,logit,-0.1913292688807086,-0.45699599368932964,0.032515144640188016,0.10666666666666667,11.0,0.006547619047619048,False
RTH,B_inside,seq_low_first,467,logit,-0.266320909665778,-0.5186279081695776,-0.001151852744885694,0.04666666666666667,6.0,0.0035714285714285718,False
RTH,B_inside,dn60_atr,467,ols,-0.010587015013823248,-0.03591840089055663,0.013770619310476363,0.4033333333333333,30.0,0.017857142857142856,False
RTH,B_inside,net60_atr,467,ols,-0.011554829468225752,-0.05067464236419622,0.028498179770083138,0.5633333333333334,52.0,0.030952380952380953,False
RTH,B_inside,ret_close_atr,467,ols,-0.019961201412497506,-0.07789630639001918,0.04497013155603792,0.5666666666666667,54.0,0.03214285714285715,False
RTH,B_inside,mfe_down_atr,467,ols,-0.008279885151175887,-0.05255043082627826,0.037809054446470175,0.7133333333333334,64.0,0.0380952380952381,False
RTH,B_took_Alow,touch_Blow,467,logit,0.1913292688807086,-0.04142840878325737,0.4300140318461637,0.12666666666666668,13.0,0.007738095238095238,False
RTH,B_took_Alow,seq_low_first,467,logit,0.266320909665778,0.03792208095162048,0.5298379670252681,0.02666666666666667,4.0,0.002380952380952381,False
RTH,B_took_Alow,dn60_atr,467,ols,0.010587015013823248,-0.014769508592457094,0.035850159218958275,0.43666666666666665,36.0,0.02142857142857143,False
RTH,B_took_Alow,net60_atr,467,ols,0.011554829468225752,-0.029346800019033045,0.05594948202054217,0.5933333333333334,58.0,0.034523809523809526,False
RTH,B_took_Alow,ret_close_atr,467,ols,0.019961201412497506,-0.037416788494776074,0.07642006621182358,0.4766666666666667,43.0,0.025595238095238095,False
RTH,B_took_Alow,mfe_down_atr,467,ols,0.008279885151175887,-0.03425404903661837,0.051148943758215444,0.7133333333333334,65.0,0.03869047619047619,False
RTH,B_below_Aclose,touch_Blow,467,logit,0.2354904853607996,-0.03242913208309816,0.5053659853682609,0.09333333333333334,10.0,0.005952380952380952,False
RTH,B_below_Aclose,seq_low_first,467,logit,0.29514790710748984,-0.013582249961643375,0.5979992967593409,0.06333333333333334,8.0,0.004761904761904762,False
RTH,B_below_Aclose,dn60_atr,467,ols,-0.002748395395574384,-0.031056419831616357,0.02503182485445267,0.9133333333333333,78.0,0.04642857142857143,False
RTH,B_below_Aclose,net60_atr,467,ols,-0.023714146378282615,-0.07182526032860945,0.01981620794993037,0.3233333333333333,23.0,0.013690476190476192,False
RTH,B_below_Aclose,ret_close_atr,467,ols,-0.030906080921754748,-0.11977383646197999,0.048772173864090294,0.46,39.0,0.023214285714285715,False
RTH,B_below_Aclose,mfe_down_atr,467,ols,0.025187989231557375,-0.02820474274425375,0.07883429491622797,0.37333333333333335,26.0,0.015476190476190477,False
RTH,A_range_atr,touch_Blow,467,logit,-0.10576798054394573,-0.3938735477874422,0.16757407970908025,0.4,27.0,0.016071428571428573,False
