sessdef,scope,n_trig,trig,opp,diff,ci_lo,ci_hi,p
RTH,all,467,0.9390272170340755,0.7194884635705945,0.21953875346348106,0.14415611266065462,0.29838291392999106,0.0
RTH,tradeable,358,0.8503232715467655,0.6923250394996021,0.15799823204716335,0.09012279731741364,0.22778303804792815,0.0
BROKER,all,475,1.104589941861998,0.814396911174772,0.290193030687226,0.20840912855158678,0.37688305828643104,0.0
BROKER,tradeable,404,1.0377078030664761,0.7920657286623495,0.24564207440412666,0.1653108657421765,0.32644853248983385,0.0
