dataset,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled
Dukascopy_1m,COMMOD,RTH,2016,Fri->Mon,145,75,39,0.52,0.4087421577281785,0.6293088885725093,0.42758620689655175,0.32857142857142857,0.19142857142857145,0.03039521816060231,0.3386256802980563,0.028663616627843183,0.38996738559705135,0.46978398155588247,1.2765692325239988
Dukascopy_1m,COMMOD,RTH,2017,Fri->Mon,139,66,31,0.4696969696969697,0.35430428496377675,0.5884231427340136,0.4460431654676259,0.4246575342465753,0.045039435450394405,-0.11741390550890465,0.2047437891421134,0.612392400222628,0.0906178547143679,-0.07712737958344336,-0.21150118716934646
Dukascopy_1m,COMMOD,RTH,2018,Fri->Mon,152,86,34,0.3953488372093023,0.2986242725154595,0.501022792032719,0.4473684210526316,0.5151515151515151,-0.11980267794221283,-0.271129080257692,0.038632636773464346,0.18784331656762893,-0.24116909793486174,-0.8601264452098805,-2.3305713722762222
Dukascopy_1m,COMMOD,RTH,2019,Fri->Mon,151,77,31,0.4025974025974026,0.3002201729682805,0.5142314683205054,0.4370860927152318,0.47297297297297297,-0.07037557037557035,-0.22230297506443605,0.08605727442931929,0.41500608635102254,-0.14197842445282904,-0.7114087680024808,-1.9269315644816016
Dukascopy_1m,COMMOD,RTH,2020,Fri->Mon,148,79,36,0.45569620253164556,0.3504845759399334,0.565016670662313,0.39864864864864863,0.3333333333333333,0.12236286919831224,-0.035284507565253975,0.2704019228500958,0.1349275615671243,0.25111295538458234,0.3880772001493232,1.1068485925599816
Dukascopy_1m,COMMOD,RTH,2021,Fri->Mon,150,71,30,0.4225352112676056,0.31453012070149655,0.5384925197797118,0.36,0.3037974683544304,0.11873774291317524,-0.03438970437713737,0.26574023672406916,0.1727734723015506,0.24768875810009172,0.40607258881346886,1.0983341063186627
Dukascopy_1m,COMMOD,RTH,2022,Fri->Mon,146,77,41,0.5324675324675324,0.42215020982869184,0.639699243075046,0.4452054794520548,0.34782608695652173,0.1846414455110107,0.023327908949338005,0.33239217554512873,0.030504134821447516,0.3742344866635259,0.634586714580508,1.7690594098333943
Dukascopy_1m,COMMOD,RTH,2023,Fri->Mon,144,54,30,0.5555555555555556,0.42375646526775257,0.6799753582777035,0.4236111111111111,0.34444444444444444,0.21111111111111114,0.04401063367925853,0.3646612406470231,0.01530003421734591,0.42770295434071515,0.23489865394755483,0.5632794865825581
Dukascopy_1m,COMMOD,RTH,2024,Fri->Mon,153,62,34,0.5483870967741935,0.4253251246984431,0.6658028683240047,0.48366013071895425,0.43956043956043955,0.10882665721375395,-0.05124674762313414,0.2614283402309654,0.19291402353862602,0.2181013356874808,0.11585599599138983,0.3299022645135575
Dukascopy_1m,COMMOD,RTH,2025,Fri->Mon,153,70,28,0.4,0.2933425772556162,0.5170620352264372,0.3660130718954248,0.3373493975903614,0.0626506024096386,-0.08835467106944761,0.2118516241547577,0.5009528960411571,0.12997231934900944,0.18512792852601645,0.5400769441112803
