sessdef,group,n,MFE_atr_mean,MFE_atr_median,MAE_atr_mean,MAE_atr_median,MFE_minus_MAE,leg_ext_atr_mean,bars_left_median
RTH,triggered,223,0.4462059337345806,0.3455842843940113,0.385408755747324,0.2694709822654153,0.06079717798725659,0.40164088745638205,320.0
RTH,control,247,0.27801264569612094,0.17080800507096497,0.29661539195308817,0.2145453781068321,-0.01860274625696723,0.39419745519039656,275.0
BROKER,triggered,276,0.5079620392470486,0.36420380486916903,0.4620060755882372,0.3052332239229357,0.04595596365881144,0.42788626725448836,496.0
BROKER,control,290,0.32345907527355217,0.2175180964471238,0.34764175487597915,0.27340440190108517,-0.024182679602426982,0.4051020055989872,386.5
