dataset,n,recon_accuracy,observed_uplift,shuffle_mean,shuffle_sd,shuffle_p,shuffle_q95,randtrig_mean,randtrig_sd
Duka US_INDEX RTH Fri->Mon,1036,1.0,0.17117073042228187,0.0839133157460965,0.028001804749776982,0.001,0.12746713683045877,-0.00277409181741889,0.03066119926367114
Duka US_INDEX BROKER Fri->Mon,1076,1.0,0.20566074087047903,0.11347210438742447,0.025746316210885124,0.0,0.15578404413696467,0.0007882301427445512,0.031365402457631454
Duka FX BROKER Fri->Mon,3327,0.9990982867448152,0.14055493547944936,0.15871631735712682,0.014004674002492874,0.905,0.18132401478609544,-0.00011465968700298423,0.016898618001385042
Duka US_INDEX BROKER Mon-Thu,4424,1.0,0.11695984601400838,0.09402876710955463,0.013354564402565426,0.056,0.1176865843714912,0.0005333953777468853,0.01572956807943137
YF ES+NQ Fri->Mon,2369,0.9995778809624314,0.19197352652794425,0.10791442494595788,0.01800687211850066,0.0,0.13776583849863244,0.001437538345537008,0.02229038674711097
